No,チャプター名,カテゴリ名,親カテゴリ名,ナレッジタイトル（ノウハウ名）,ナレッジ概要,チェックアイテム名,検索手順,検索実施,移植要因,難易度,難易度詳細,目視確認,ヒアリング確認,検索対象ファイル,検索キーワード１,検索キーワード２,検索モジュール,ライン数算出,非算出理由,不明/TODO,ライン数,ライン数根拠,調査内容
46,,CHARTOROWID (FNC-006-001),CHARTOROWID,knowledge-46,,item-34,CHARTOROWID\s*\(,TRUE,DBMS の変更,Middle,中,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,CHARTOROWID\s*\(
46,,CHARTOROWID (FNC-006-001),CHARTOROWID,knowledge-46,,item-35,CHARTOROWID\s*\(,TRUE,DBMS の変更,Middle,中,check,,*.properties,CHARTOROWID\s*\(,,,TRUE,,TODO:SE 手動算出,,,CHARTOROWID\s*\(
47,,CHR,FUNC MIGRATION,knowledge-47,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
48,,CHR (FNC-007-001),CHR,knowledge-48,<ns3:para>CHR\s*\( pattern関数はtodbで該当する関数が存在しますが注意が必要です。なぜならtodbでの動作は引数の値に該当するASCIIコードの文字を返却しますが、fromdbでは引数の値に該当するデータベース・キャラクタ・セットの文字を返却するためです。データベース・キャラクタ・セットがASCIIコードか確認の必要があります。また、USING NCHAR_CS句が指定されている場合は、todbで未サポートです。</ns3:para>,item-36,CHR\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,CHR\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,CHR\s*\(
48,,CHR (FNC-007-001),CHR,knowledge-48,,item-37,CHR\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,CHR\s*\(
48,,CHR (FNC-007-001),CHR,knowledge-48,,item-38,CHR\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,CHR\s*\(,,,TRUE,,TODO:SE 手動算出,,,CHR\s*\(
49,,CONCAT,FUNC MIGRATION,knowledge-49,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
50,,CONCAT (FNC-008-001),CONCAT,knowledge-50,<ns3:para>CONCAT\s*\( pattern関数は未サポートです。演算子を利用することで対処可能です。</ns3:para>,item-39,CONCAT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,CONCAT\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,CONCAT\s*\(
50,,CONCAT (FNC-008-001),CONCAT,knowledge-50,,item-40,CONCAT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,CONCAT\s*\(
50,,CONCAT (FNC-008-001),CONCAT,knowledge-50,,item-41,CONCAT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,CONCAT\s*\(,,,TRUE,,TODO:SE 手動算出,,,CONCAT\s*\(
